shap_rank,feature,mean_abs_shap,mean_signed_shap,max_abs_shap
52,t_awp,8.57159353752422e-05,1.3936029119309933e-05,0.012246695186506921
53,first_kill_weapon_Glock-18,5.672624038100444e-05,1.2479623594990885e-05,0.023904855566596564
54,ct_awp,0.0,0.0,0.0
55,first_kill_weapon_AUG,0.0,0.0,0.0
56,first_kill_weapon_CZ75 Auto,0.0,0.0,0.0
57,first_kill_weapon_Dual Berettas,0.0,0.0,0.0
58,first_kill_weapon_FAMAS,0.0,0.0,0.0
59,first_kill_weapon_Five-SeveN,0.0,0.0,0.0
60,first_kill_weapon_G3SG1,0.0,0.0,0.0
61,first_kill_weapon_HE Grenade,0.0,0.0,0.0
62,first_kill_weapon_Knife,0.0,0.0,0.0
63,first_kill_weapon_M4A4,0.0,0.0,0.0
64,first_kill_weapon_MAC-10,0.0,0.0,0.0
65,first_kill_weapon_MAG-7,0.0,0.0,0.0
66,first_kill_weapon_MP5-SD,0.0,0.0,0.0
67,first_kill_weapon_MP7,0.0,0.0,0.0
68,first_kill_weapon_MP9,0.0,0.0,0.0
69,first_kill_weapon_Molotov,0.0,0.0,0.0
70,first_kill_weapon_Negev,0.0,0.0,0.0
71,first_kill_weapon_Nova,0.0,0.0,0.0
72,first_kill_weapon_P2000,0.0,0.0,0.0
73,first_kill_weapon_P90,0.0,0.0,0.0
74,first_kill_weapon_PP-Bizon,0.0,0.0,0.0
75,first_kill_weapon_SCAR-20,0.0,0.0,0.0
76,first_kill_weapon_SG 553,0.0,0.0,0.0
77,first_kill_weapon_SSG 08,0.0,0.0,0.0
78,first_kill_weapon_Tec-9,0.0,0.0,0.0
79,first_kill_weapon_UMP-45,0.0,0.0,0.0
80,first_kill_weapon_XM1014,0.0,0.0,0.0
81,first_kill_weapon_Zeus x27,0.0,0.0,0.0
82,map_name_de_vertigo,0.0,0.0,0.0
