phase_order,phase,candidate_order,candidate_id,candidate_label,is_incumbent,changed_parameter,parameter_value,best_iteration,best_tree_count,elapsed_seconds,train_accuracy,train_log_loss,train_brier_score,train_ece10,train_auc,val_accuracy,val_log_loss,val_brier_score,val_ece10,val_auc,selected
6,subsample,0,subsample_0.7,0.7,False,subsample,0.7,114,114,0.23590349999994942,0.6699389944604165,0.580641010706922,0.20113181261954619,0.016720594782817517,0.7427604091186976,0.6490453460620526,0.5962439998379959,0.20772633542275973,0.01420053463445305,0.716816219247262,False
6,subsample,1,subsample_0.85,0.85,True,subsample,0.85,115,115,0.20252909999999247,0.6696234485660192,0.5806837592572109,0.20118413027142484,0.01626069122592721,0.7415628046308305,0.6529832935560859,0.5956209002866791,0.20741693056531296,0.007881811932651181,0.7185753830182423,True
6,subsample,2,subsample_1.0,1.0,False,subsample,1.0,135,135,0.19145660000003772,0.6712712993478718,0.5791486579214811,0.2007289967334241,0.01481977961489684,0.7423529872095027,0.6507159904534606,0.5957588572391936,0.207518726966253,0.012216072736469328,0.7183288985981642,False
7,colsample_bytree,0,colsample_bytree_0.7,0.7,False,colsample_bytree,0.7,129,129,0.20529239999996207,0.671516723932403,0.579504003084799,0.2007726430515965,0.01674505611634793,0.7431934904075729,0.6521479713603818,0.5957768660862266,0.20751157028798126,0.010159508720833661,0.7181120083362793,False
7,colsample_bytree,1,colsample_bytree_0.85,0.85,True,colsample_bytree,0.85,115,115,0.21178379999992103,0.6696234485660192,0.5806837592572109,0.20118413027142484,0.01626069122592721,0.7415628046308305,0.6529832935560859,0.5956209002866791,0.20741693056531296,0.007881811932651181,0.7185753830182423,True
7,colsample_bytree,2,colsample_bytree_1.0,1.0,False,colsample_bytree,1.0,127,127,0.23787069999980304,0.6713063600028049,0.5792905355240348,0.20071966962155607,0.015488585457080772,0.7431105407661761,0.6511933174224344,0.5958411859924349,0.207523620282678,0.011314030383061224,0.7179108596479017,False
8,min_split_gain,0,min_split_gain_0.0,0.0,True,min_split_gain,0.0,115,115,0.22716659999969124,0.6696234485660192,0.5806837592572109,0.20118413027142484,0.01626069122592721,0.7415628046308305,0.6529832935560859,0.5956209002866791,0.20741693056531296,0.007881811932651181,0.7185753830182423,True
8,min_split_gain,1,min_split_gain_0.01,0.01,False,min_split_gain,0.01,115,115,0.21164349999980914,0.6696234485660192,0.5806837592572109,0.20118413027142484,0.01626069122592721,0.7415628046308305,0.6529832935560859,0.5956209002866791,0.20741693056531296,0.007881811932651181,0.7185753830182423,False
8,min_split_gain,2,min_split_gain_0.05,0.05,False,min_split_gain,0.05,115,115,0.23092230000020209,0.6696585092209523,0.5806867149597156,0.20119257831487602,0.01616515183198131,0.7415465446088614,0.652744630071599,0.5956448538177237,0.2074277464353935,0.007534816521939773,0.7185613587072996,False
8,min_split_gain,3,min_split_gain_0.1,0.1,False,min_split_gain,0.1,115,115,0.2356192000002011,0.6696585092209523,0.5806867149597156,0.20119257831487602,0.01616515183198131,0.7415465446088614,0.652744630071599,0.5956448538177237,0.2074277464353935,0.007534816521939773,0.7185613587072996,False
9,learning_rate,0,learning_rate_0.01,0.01,False,learning_rate,0.01,409,409,0.4514636999997492,0.6719725124465326,0.5783627680993283,0.2003473142087816,0.017663670181550017,0.7448983010795921,0.6504773269689738,0.5958735449256635,0.20753478919798152,0.013834319272619315,0.7182036242940906,False
9,learning_rate,1,learning_rate_0.02,0.02,False,learning_rate,0.02,214,214,0.27845539999998437,0.672533482925461,0.5778816268559468,0.20020149408936616,0.01864964137027763,0.7455149138060817,0.6521479713603818,0.5958862924604523,0.20755715380314801,0.011186972698772196,0.7178068793996267,False
9,learning_rate,2,learning_rate_0.03,0.03,True,learning_rate,0.03,115,115,0.238415900000291,0.6696234485660192,0.5806837592572109,0.20118413027142484,0.01626069122592721,0.7415628046308305,0.6529832935560859,0.5956209002866791,0.20741693056531296,0.007881811932651181,0.7185753830182423,True
9,learning_rate,3,learning_rate_0.05,0.05,False,learning_rate,0.05,85,85,0.1768352000003688,0.6726737255451932,0.5779782536206105,0.20019317905773915,0.018208900020008214,0.7459798241189213,0.6510739856801909,0.596328591683791,0.20778642559562235,0.010219974771614754,0.7168466720367375,False
